trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",20,12,-1.2968675083187549,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.7, 'e': 0.8264462809917354}",35,0,-46.558230953489876,"{0: 27, 1: 3, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.6944444444444443}",20,0,-58.94534408975469,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.5917159763313607}",35,0,-1.3607571155637477,"{0: 30, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.5102040816326527}",25,0,-53.65212198362955,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.7, 'e': 0.4444444444444442}",25,0,-137.23993104071525,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.3906249999999997}",25,0,-31.261111392599613,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.3460207612456745}",30,0,-2.468669549516906,"{0: 26, 1: 2, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.30864197530864174}",20,2,-6.385534674806452,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.2770083102493073}",20,0,-57.65426922376595,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.24999999999999978}",20,0,-74.45477115694447,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.2267573696145123}",30,7,-2.4282166382129717,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.2066115702479337}",20,4,24.25616646142637,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.1890359168241964}",25,3,-0.9835276702021825,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.7, 'e': 0.17361111111111094}",25,14,-29.926762280016263,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.7, 'e': 0.1599999999999998}",20,10,4.552542868065651,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.14792899408284008}",25,16,16.99874298439551,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.13717421124828516}",30,15,13.489931407462318,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.7, 'e': 0.12755102040816313}",25,10,-48.54023504499824,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.7, 'e': 0.11890606420927455}",20,14,9.221406624849998,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.7, 'e': 0.11111111111111098}",25,6,-67.28388031385285,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
22,False,"{'a': 0.7, 'e': 0.10405827263267417}",20,0,-64.86025316294922,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
23,False,"{'a': 0.7, 'e': 0.09765624999999988}",30,0,-7.552485458879027,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.7, 'e': 0.09182736455463718}",30,0,-45.35419139393851,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
25,False,"{'a': 0.7, 'e': 0.08650519031141858}",20,0,18.056597932272588,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 0.08163265306122439}",20,0,31.29479764492642,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.7, 'e': 0.07716049382716039}",25,0,22.451250755646825,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.7, 'e': 0.07304601899196485}",25,0,32.827897868384824,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.06925207756232678}",25,1,-46.733567166852126,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 2}",1
30,False,"{'a': 0.7, 'e': 0.06574621959237335}",35,0,-87.09216104245488,"{0: 31, 1: 0, 2: 0, 3: 1, 4: 3}",0
31,False,"{'a': 0.7, 'e': 0.06249999999999992}",20,12,12.282231160489237,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 0.05948839976204633}",25,8,25.68179318128585,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.7, 'e': 0.05668934240362807}",20,0,8.225367846215171,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.7, 'e': 0.05408328826392641}",25,15,6.551362423773966,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 0.051652892561983445}",35,9,-40.95493216145005,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 2}",1
36,False,"{'a': 0.7, 'e': 0.0493827160493827}",25,3,23.43934690872278,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 0.04725897920604914}",25,0,-63.39296812109774,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
38,False,"{'a': 0.7, 'e': 0.04526935264825712}",20,0,29.686491600554877,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.7, 'e': 0.043402777777777776}",30,18,22.572433675230833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 0.041649312786339036}",25,0,13.557834371247015,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
41,False,"{'a': 0.7, 'e': 0.040000000000000015}",25,0,29.896690327872903,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.7, 'e': 0.038446751249519434}",35,7,20.16675418870537,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.7, 'e': 0.03698224852071008}",25,0,34.71541939430706,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.7, 'e': 0.03559985760056963}",20,2,25.8677533604231,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.03429355281207136}",20,7,21.88418520144503,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.03305785123966945}",25,0,16.093570064553038,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
47,False,"{'a': 0.7, 'e': 0.03188775510204085}",25,9,14.554865352712941,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.7, 'e': 0.03077870113881198}",30,18,19.415494705601425,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.029726516052318706}",20,14,12.674445281216089,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,16.68498646033438,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,5,30.633392254453018,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,15,20.243627309585293,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,12,24.026679997441697,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,22,15.441265378899116,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,9,39.34842621555426,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,34.42370263123783,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,18,9.018818916735803,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,8,37.969996057979166,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,4,27.2961734058797,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
