trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.58861976589182,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-172.94854495223893,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.81033742124555,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.51247495124413,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.7057751704921,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.56558056644784,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.66246139938525,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.73440475201319,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.704570492203,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.15062608948222,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.89245069106886,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-188.00575406656546,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-203.21811803943197,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.132970992061985,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,1,-174.8997584570422,"{0: 13, 1: 3, 2: 3, 3: 3, 4: 2}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.00003783426187,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.58777941809869,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-17.444281747041465,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",35,0,-201.4250887409679,"{0: 18, 1: 5, 2: 8, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,3,-35.60651411559012,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.42426185234159,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.15706732512814,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.41185564327903,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,22,0.5710642447976462,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-140.13032817634956,"{0: 11, 1: 0, 2: 5, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.56428497008785,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.78570669080347,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-302.5884207848714,"{0: 15, 1: 4, 2: 9, 3: 3, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.6772558996451,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-157.61785170292825,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
